MOF_no,ethane_avg(mol/kg),ethylene_avg(mol/kg),C2H6/C2H4 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_1,0.090212,0.490082,1.65667786207206,0.01977790466932,18,5.97689,0.2417,3
ddmof_10,0.099701,0.48033,1.86810942477047,0.02705908185877,22,8.08337,0.26716,3
ddmof_100,0.103057,0.549819,1.68694243014519,0.023404271678757,20,7.26001,0.34358,3
ddmof_1000,0.07334,0.431104,1.53109226543943,0.013567999932235,20,9.65757,0.52278,3
ddmof_10000,0.10442,0.522698,1.79794068467834,0.02660364308646,6,7.58398,0.29818,3
ddmof_10001,0.223709,0.942366,2.13651702204876,0.073758279479864,7,3.61587,0.01468,0
ddmof_10002,0.148043,0.778059,1.71244982706967,0.034585488254568,1,7.13287,0.31114,3
ddmof_10003,0.119174,0.638658,1.67940587920295,0.026832701723002,3,10.49501,0.53244,3
ddmof_10004,0.151061,0.847546,1.60410054439523,0.031002488644423,8,8.01551,0.43542,3
ddmof_10005,0.124359,0.759793,1.47307358714808,0.02092022344408,9,11.2293,0.56564,3
ddmof_10006,0.132703,0.707819,1.68733390881002,0.03015025884432,7,6.92548,0.2547,3
ddmof_10007,0.128316,0.669369,1.72527260748556,0.030392636096154,4,6.36087,0.27652,3
ddmof_10008,0.124717,0.529292,2.1206687423955,0.040716712580538,2,3.46834,0,0
ddmof_10009,0.068896,0.342448,1.81068074568986,0.017764274401528,4,8.81555,0.29282,3
ddmof_1001,0.081611,0.445843,1.64743867235776,0.01769402023196,18,8.24024,0.43952,3
ddmof_10010,0.137493,0.693802,1.783559286367,0.034550279121968,6,6.56442,0.25778,3
ddmof_10011,0.086426,0.416528,1.86742307840049,0.023442423465474,8,6.26813,0.20022,3
ddmof_10012,0.344697,1.620753,1.91409363425519,0.097191861883928,6,4.51001,0.10588,2
ddmof_10013,0.132313,0.744735,1.59898084553566,0.026971113431025,8,7.17831,0.32828,3
ddmof_10014,0.179013,0.959735,1.6787102689805,0.040273583414976,2,9.77416,0.46348,3
ddmof_10015,0.185972,1.040183,1.60908993898189,0.038418155153984,5,10.43982,0.488,3
ddmof_10016,0.059555,0.319585,1.67715944115024,0.01337452549098,2,6.01184,0.21726,3
ddmof_10017,0.102528,0.51406,1.79502781776446,0.026049410279425,7,4.5901,0.09306,2
ddmof_10018,0.191384,0.89818,1.91771805206083,0.05412047782151,4,4.57027,0.13988,3
ddmof_10019,0.087362,0.392287,2.00429277544247,0.02637993095108,6,2.70464,0,0
ddmof_1002,0.114789,0.551015,1.87490540184931,0.031335027793502,19,4.49962,0.15482,3
ddmof_10020,0.230931,0.948978,2.19012348020713,0.078624754557706,9,7.77247,0.2856,3
ddmof_10021,0.115825,0.591817,1.76139752660028,0.028476431288699,12,4.48665,0.09184,3
ddmof_10022,0.114469,0.562673,1.83094088395924,0.030068067005632,6,4.10723,0.12314,2
ddmof_10023,0.203683,1.076464,1.70293386495043,0.047091057841811,3,9.16893,0.43764,3
ddmof_10024,0.12799,0.591503,1.94742883806168,0.037048189783391,3,3.92014,0.08578,1
ddmof_10025,0.117732,0.620247,1.70833232567026,0.027381208950807,4,9.61756,0.46244,3
ddmof_10026,0.105258,0.431661,2.19459714915176,0.03593032466491,2,5.0803,0.12392,3
ddmof_10027,0.146461,0.728751,1.80877830699375,0.037696914398331,6,7.36406,0.48732,3
ddmof_10028,0.151296,0.678661,2.00639789232032,0.045754491953579,5,3.77501,0.0824,1
ddmof_10029,0.119178,0.444673,2.41211407033933,0.045573410014301,6,4.44951,0.2663,3
ddmof_1003,0.124493,0.653239,1.71520224603859,0.0291706192139,20,6.72042,0.2483,3
ddmof_10030,0.18025,0.894539,1.81350393890037,0.046597960201415,7,5.60952,0.24458,3
ddmof_10031,0.091815,0.464696,1.77822705596777,0.022952576035939,7,6.34148,0.21058,3
ddmof_10032,0.263111,1.290615,1.83478341720807,0.069352061975547,7,5.23887,0.23528,3
ddmof_10033,0.05617,0.319529,1.58210991803561,0.011191122803475,1,5.64736,0.22818,3
ddmof_10034,0.155964,0.719871,1.94989935696812,0.045231462146185,4,3.469,0.0505,0
ddmof_10035,0.197137,0.989038,1.79389770666041,0.050032912189747,6,8.70486,0.41848,3
ddmof_10036,0.174341,0.894971,1.75320652847969,0.042510102857893,5,6.40071,0.2519,3
ddmof_10037,0.131154,0.714556,1.65191531524471,0.028589969249339,4,8.13956,0.35614,3
ddmof_10038,0.126437,0.613658,1.85434395053923,0.033909175926684,6,5.01231,0.12402,2
ddmof_10039,0.291136,1.376963,1.90290080416104,0.081348100144185,8,6.11083,0.08222,1
