MOF_no,propane_avg(mol/kg),propylene_avg(mol/kg),C3H8/C3H6 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_1,0.418058,1.695389,1.39731668268069,0.06074167196119,18,5.97689,0.2417,3
ddmof_10,0.36111,1.502782,1.3616678932806,0.048414450081888,22,8.08337,0.26716,3
ddmof_100,0.456976,1.963257,1.31899729208487,0.05494857824515,20,7.26001,0.34358,3
ddmof_1000,0.255168,1.119715,1.29135717570989,0.028335482725767,20,9.65757,0.52278,3
ddmof_10000,0.465894,1.989348,1.32710114067524,0.05726024663998,6,7.58398,0.29818,3
ddmof_10001,0.338848,1.368784,1.40280618904565,0.049809867595267,7,3.61587,0.01468,0
ddmof_10002,0.693769,2.765783,1.42142665084957,0.105955491678048,1,7.13287,0.31114,3
ddmof_10003,0.426743,1.889288,1.27995855228707,0.045745102735803,3,10.49501,0.53244,3
ddmof_10004,0.783482,3.231924,1.37371155179804,0.10803868156087,8,8.01551,0.43542,3
ddmof_10005,0.497014,2.170453,1.29761513687081,0.056235097836341,9,11.2293,0.56564,3
ddmof_10006,0.601162,2.459489,1.38507822830949,0.085048974796133,7,6.92548,0.2547,3
ddmof_10007,0.506698,2.075615,1.38334357126281,0.071408977594213,4,6.36087,0.27652,3
ddmof_10008,0.271057,1.035771,1.48294330181736,0.046384506262249,2,3.46834,0,0
ddmof_10009,0.397325,1.567026,1.43680343104284,0.062537904634199,4,8.81555,0.29282,3
ddmof_1001,0.327819,1.440118,1.28992277021744,0.036244884572407,18,8.24024,0.43952,3
ddmof_10010,0.659582,2.561515,1.45914871993072,0.10823711498311,6,6.56442,0.25778,3
ddmof_10011,0.358925,1.437165,1.41522256201155,0.054134771112134,8,6.26813,0.20022,3
ddmof_10012,0.623504,2.709442,1.30402840634099,0.071881938048705,6,4.51001,0.10588,2
ddmof_10013,0.720165,2.973424,1.37246992019974,0.099024729161584,8,7.17831,0.32828,3
ddmof_10014,0.922442,3.802352,1.37472052385822,0.127494782790602,2,9.77416,0.46348,3
ddmof_10015,0.89711,3.766991,1.34951831138788,0.116784686942017,5,10.43982,0.488,3
ddmof_10016,0.229407,1.017037,1.27819636847037,0.024454230880126,2,6.01184,0.21726,3
ddmof_10017,0.243051,1.04327,1.32016544135267,0.02931884348143,7,4.5901,0.09306,2
ddmof_10018,0.484559,1.935934,1.41835121100892,0.073548198504513,4,4.57027,0.13988,3
ddmof_10019,0.188962,0.753701,1.42070219711353,0.028817281730414,6,2.70464,0,0
ddmof_1002,0.413369,1.684828,1.39030472744597,0.05915723738096,19,4.49962,0.15482,3
ddmof_10020,0.849497,3.199659,1.50447792509556,0.150688721768214,9,7.77247,0.2856,3
ddmof_10021,0.355913,1.509449,1.33614340950462,0.044792745079784,12,4.48665,0.09184,3
ddmof_10022,0.273625,1.186237,1.30710951240491,0.031825864218727,6,4.10723,0.12314,2
ddmof_10023,1.027999,4.231516,1.37665263859729,0.142711315082916,3,9.16893,0.43764,3
ddmof_10024,0.264478,1.195059,1.25408759455949,0.026005558884752,3,3.92014,0.08578,1
ddmof_10025,0.457452,1.943923,1.33350343609289,0.057178818915779,4,9.61756,0.46244,3
ddmof_10026,0.361466,1.385477,1.4784130904615,0.061375408393498,2,5.0803,0.12392,3
ddmof_10027,0.502669,2.121513,1.34265388270855,0.064323572151286,6,7.36406,0.48732,3
ddmof_10028,0.352821,1.447518,1.38120493147581,0.049486010259556,5,3.77501,0.0824,1
ddmof_10029,0.371984,1.387266,1.51947019052823,0.06758658550916,6,4.44951,0.2663,3
ddmof_1003,0.568322,2.318963,1.3887635694633,0.081058809473582,20,6.72042,0.2483,3
ddmof_10030,0.719758,2.88043,1.41597909571372,0.108724370379381,7,5.60952,0.24458,3
ddmof_10031,0.383697,1.57785,1.3780036125107,0.053429943884302,7,6.34148,0.21058,3
ddmof_10032,0.807892,3.368368,1.35913138548599,0.107660852457368,7,5.23887,0.23528,3
ddmof_10033,0.219001,0.964014,1.28733158093831,0.024022312444747,1,5.64736,0.22818,3
ddmof_10034,0.307375,1.241322,1.40317473360391,0.045218475978514,4,3.469,0.0505,0
ddmof_10035,1.007186,4.131931,1.38128815155271,0.141292369408991,6,8.70486,0.41848,3
ddmof_10036,0.741399,3.033135,1.3851216645484,0.10489900394231,5,6.40071,0.2519,3
ddmof_10037,0.58531,2.462903,1.34668586893867,0.075660859809416,4,8.13956,0.35614,3
ddmof_10038,0.436789,1.800018,1.37506273085417,0.060417751382976,6,5.01231,0.12402,2
ddmof_10039,0.50667,2.18,1.31703211009174,0.060595889479475,8,6.11083,0.08222,1
ddmof_1004,0.545107,2.306126,1.33944965134891,0.069188465598186,19,5.96927,0.2242,3
ddmof_10040,0.722288,2.914305,1.40443959480334,0.106539693709002,4,6.37092,0.23492,3
ddmof_10041,0.382449,1.657068,1.30785882051913,0.044578586532633,3,10.87017,0.51056,3
ddmof_10042,0.522237,2.111689,1.40141043496462,0.076541847092873,5,4.94095,0.14306,3
ddmof_10043,0.514716,2.213112,1.31792878082989,0.06171030091054,9,4.98861,0.11346,3
ddmof_10044,0.755315,3.082681,1.38844023540981,0.107652924921992,4,8.0415,0.38526,3
ddmof_10045,0.813394,3.258316,1.4146057861382,0.122525955061229,4,5.07455,0.15514,3
ddmof_10046,0.4698,2.131404,1.24903584679394,0.045370889250243,8,3.8322,0.05382,1
ddmof_10047,0.862372,3.567825,1.36967891268957,0.117816201490336,3,9.51064,0.47028,3
ddmof_10048,0.501571,2.037378,1.3950458219666,0.072521384876327,7,4.18489,0.12686,3
ddmof_10049,0.31033,1.254804,1.40144330641811,0.045486785350897,3,6.70552,0.23456,3
ddmof_1005,0.652089,2.678921,1.37935049223176,0.091080292539024,15,5.79362,0.17102,3
ddmof_10050,0.562538,2.359759,1.35086478463832,0.073474145928175,6,5.26059,0.12036,2
ddmof_10051,0.65213,2.673261,1.38235785182716,0.091702836017144,4,4.88988,0.18216,2
ddmof_10052,0.275828,1.071384,1.45888433403274,0.045241545970574,5,4.6116,0.11126,2
ddmof_10053,0.33216,1.364061,1.37987963881381,0.046449655099298,4,4.53783,0.14356,2
ddmof_10054,0.307936,1.308184,1.33388779152372,0.038528736046606,2,7.24004,0.27678,3
ddmof_10055,0.397269,1.680341,1.33972271104496,0.050459090100547,8,8.68265,0.43306,3
ddmof_10056,0.514312,2.216823,1.31468983616043,0.061112251859604,11,3.53475,0.10576,0
ddmof_10057,0.588849,2.48022,1.34536895920523,0.075868131478472,6,4.49485,0.14426,2
